term,number_of_sightings
cracker,111
libtard,250
jigaboo,389
limeys,135
honkey,133
hillbillies,111
hayseed,113
whores,165
whore,109
muslamic,123
yokels,124
yokel,106
yellow bone,286
white trash,192
trailer trash,244
trailer park trash,211
peckerwood,176
niggah,202
nigga,274
niggahs,190
niggas,250
hillbilly,125
krauts,251
eshays,125
niggers,425
nigger,387
hoser,142
himbo,115
bull dykes,118
bull dyke,186
gay mafia,107
battyman,141
batty boys,101
batty boy,154
gheys,108
smoke jumper,184
retarded,452
hoodrats,170
hoodrat,239
pisslam,235
cripples,130
bitches,257
bitch,259
zionazis,110
yids,324
yobbos,145
yellow bones,227
wogs,297
wops,292
wiggas,489
wetbacks,371
uncle toms,145
twats,130
towel heads,140
trannies,396
tarded,139
tards,114
spics,187
spergs,137
sheboons,185
seppos,145
sambos,277
sand monkey,277
sand monkeys,158
rednecks,378
retardeds,108
retards,291
race traitors,128
ragheads,235
quadroons,179
queers,126
porch monkeys,442
polacks,195
plastic paddies,196
pikeys,119
papists,319
peckerwoods,132
pakiland,145
ofays,164
nigs,116
nigguhs,544
niggurs,444
niglets,643
nigglets,626
niggars,439
niccas,235
nig nogs,619
muzzies,480
munters,132
moon crickets,165
mongs,390
kikes,216
kneegroes,163
jiggaboos,436
jigaboos,198
japs,130
injuns,303
house niggers,145
honkies,463
hayseeds,165
heebs,123
heinies,125
gypos,391
greaseballs,117
groids,124
golliwogs,212
goobers,123
gimps,113
gimpy,106
ghey,115
faggots,362
faggy,138
dykes,128
dole bludgers,201
dindu,183
darkies,245
curry munchers,520
cunts,195
cowboy killers,244
coloreds,140
chinamen,197
ching chongs,196
camel jockeys,202
butt pirates,187
border hoppers,232
border jumpers,215
bogans,102
beaners,189
anchor babies,222
whigga,314
sheboon,237
muzzy,111
kneegrow,377
fudgepacker,167
fagbag,173
dindu nuffin,350
congoid,113
butt pirate,259
plastic paddy,309
camel fucker,140
dole bludger,235
bludger,116
niggar,339
darkie,236
goober,140
cotton picker,399
house nigger,176
octaroon,261
cowboy killer,103
coon ass,278
border jumper,194
gyppo,142
redneck,146
muzzie,435
nigglet,372
niggur,408
niglet,412
ofay,101
pickaninny,202
chinaman,210
border hopper,322
camel jockey,148
curry muncher,492
spear chucker,197
sand nigger,140
gypo,382
honkie,390
nicca,320
moon cricket,218
jiggaboo,211
jungle bunny,198
knacker,143
whigger,121
wigga,476
wigger,364
wexican,116
race traitor,148
nig nog,445
nigguh,385
niggress,221
porch monkey,389
quadroon,420
sperg,126
faggot,191
beaner,125
wetback,304
guala,144
