,term
0,hombre con peluca
1,joto
2,mili pili
3,mongolo
4,transactivista
5,maraca
6,flaite
7,caco
8,cabezas cuadradas
9,capitalino
10,defeño
11,chilango
12,retrasado mental
13,minusválida
14,minusválidos
15,minusválidas
16,minusvalido
17,invalidos
18,impedido
19,incapaz
20,disminuidos
21,disminuido
22,champinon
23,bolillo
24,amariconado
25,travelos
26,maricones
27,mujerzuelas
28,moromierdas
29,mojadas
30,mojados
31,maricotas
32,maricona
33,mariconeos
34,maricons
35,maricantungas
36,gitanadas
37,furcias
38,frijoleros
39,frijoleras
40,curiches
41,culandrones
42,conguitos
43,cholos
44,catalufos
45,bolleras
46,bachiches
47,amariconé
48,amaricono
49,amariconados
50,amariconar
51,amariconadas
52,travelo
53,sudacas
54,mujerzuela
55,mojada
56,moromierda
57,maricantunga
58,mariconeo
59,maricota
60,gitanada
61,frijolero
62,furcia
63,frijolera
64,curiche
65,conguito
66,culandrón
67,chola
68,catalufo
69,cacorros
70,bollera
71,bachiche
72,amariconada
73,mojado
74,pelotudo
75,tierrosa
76,moro
77,maldito bori
78,cholero
79,mogolico
80,payoponi
81,perroflauta
82,charnega
83,charnego
84,chapina
85,chapin
86,chapetona
87,chapeton
88,jincho papujo
89,jincho
90,jibaro
91,cerrero
92,cabezita negra
93,prieto
94,mandilon
95,mollo
96,moreno
97,negro de mierda
98,pinche negro
99,perra
100,puto
101,india
102,naca
103,cacorro
104,puta
105,zorra
106,indio ladino
107,chele
108,guera
109,chelo
110,guero
111,levis
112,mocho
113,lagartona
114,ruco
115,guajiro 
116,gabacho
117,indio
118,zambaggoa
119,zambo
120,pocho
121,cocolo
122,chale
123,blanco
124,mojo
125,gringa
126,gringo
127,guerro
128,mestizo
129,mayate
130,marrano
131,pocha
132,marron
133,polacos
134,sudaca
135,escuaca
136,maricon
137,pato
138,judas
139,aracuano
140,naco
141,cholo
